batch_id,batch_date,shift,product_type,product_category,supplier_id,quantity_produced_kg,storage_temperature_celsius,humidity_percent,co2_concentration_ppm,light_exposure_lux,storage_duration_hours,cold_chain_maintained,storage_zone,processing_duration_hours,processing_delay_hours,processing_stages_completed,equipment_used,demand_forecast_kg,inventory_level_kg,delivery_time_days,transport_cost_per_ton_inr,supplier_reliability_score,supply_chain_disruption,extreme_weather_event,order_fulfillment_status,quality_score_percent,composite_risk_score,actual_wastage_kg,wastage_percent,wastage_cost_inr,spoilage_class,wastage_risk_category,recommended_corrective_action
BATCH-00011,2020-10-29,Morning,Mango,Fruits,SUP-003,1606.94,9.45,54.24,,6.5,65.1,Yes,Zone-C,2.54,2.23,4,Sorter-X,3936.17,2892.75,9.23,3032.42,,0,1,Fulfilled,92.17,2,153.3,9.54,9198.0,Good,Low,Monitor & Maintain
BATCH-00012,2023-08-15,Night,Leafy Greens,Vegetables,SUP-003,518.97,13.05,61.39,1562.4,330.7,45.2,Yes,Zone-C,5.17,2.24,2,Conveyor-A,,2314.73,9.39,3420.36,,0,0,Fulfilled,59.77,2,45.2,8.71,678.0,Good,Low,Quality Re-inspection Required
BATCH-00013,2023-05-09,Night,Leafy Greens,Vegetables,SUP-012,453.33,5.84,74.26,1005.7,423.6,79.6,Yes,Zone-A,5.48,3.28,1,Packer-Z,2962.86,2764.96,1.5,4317.18,58.26,0,0,Fulfilled,56.3,2,47.83,10.55,717.45,Good,Medium,Prioritize Dispatch
BATCH-00014,2021-11-18,Morning,Orange,Fruits,SUP-015,1906.56,7.25,83.78,947.9,392.6,88.5,Yes,Zone-C,3.82,2.21,3,Conveyor-B,3240.41,2126.62,7.18,6000.54,97.81,1,0,Partial,90.6,2,302.38,15.86,10583.3,Bad,Medium,Prioritize Dispatch
BATCH-00015,2021-08-23,Morning,Strawberry,Berries,SUP-009,498.81,17.38,50.94,609.6,155.2,5.8,No,Zone-B,7.62,2.85,1,Washer-1,964.81,1093.1,0.82,1763.9,85.43,1,0,Partial,66.75,2,87.69,17.58,7015.2,Bad,Medium,Restore Cold Chain Immediately
BATCH-00016,2020-12-11,Afternoon,Pineapple,Fruits,SUP-008,595.75,19.98,81.62,1193.8,235.6,71.9,Yes,Zone-A,9.1,,1,Sorter-X,4351.83,456.75,0.94,3947.83,68.71,0,0,Fulfilled,,2,91.15,15.3,4101.75,Bad,Medium,Reduce Storage Temperature
BATCH-00017,2022-12-01,Afternoon,Banana,Fruits,SUP-011,1942.27,7.73,81.58,951.8,117.1,5.3,No,Zone-D,2.51,0.02,1,Packer-Z,4384.1,2794.99,9.6,4893.25,65.9,1,0,Delayed,58.83,2,305.71,15.74,6114.2,Bad,Medium,Restore Cold Chain Immediately
BATCH-00018,2020-07-11,Afternoon,Leafy Greens,Vegetables,SUP-016,1495.95,4.68,71.41,844.8,494.6,43.8,No,Zone-B,8.44,4.34,1,Washer-1,2607.08,1519.9,7.1,2910.21,61.93,0,0,Delayed,59.25,0,257.15,17.19,3857.25,Bad,Medium,Restore Cold Chain Immediately
BATCH-00019,2022-09-20,Morning,Strawberry,Berries,SUP-004,1429.23,16.28,79.23,717.4,130.3,45.4,Yes,Zone-D,1.75,0.48,5,Sorter-X,3320.8,1249.88,3.58,2115.96,89.33,0,0,Partial,82.04,2,129.35,9.05,10348.0,Good,Low,Reduce Storage Temperature
BATCH-00020,2023-05-14,Night,Banana,Fruits,SUP-001,1720.56,12.81,53.18,479.8,208.1,67.4,No,Zone-A,2.67,4.86,2,Conveyor-A,3469.57,1775.6,6.86,4794.92,71.73,0,1,Partial,79.3,3,369.92,21.5,7398.4,Bad,High,Restore Cold Chain Immediately
BATCH-00021,2020-11-29,Night,Pineapple,Fruits,SUP-007,320.06,30.642699884468644,52.63,1023.2,340.6,35.1,No,Zone-A,5.83,,2,Conveyor-A,1353.75,409.02,8.54,5365.68,,0,0,Fulfilled,67.87,0,34.95,10.92,1572.75,Good,Medium,Restore Cold Chain Immediately
BATCH-00022,2023-06-18,Afternoon,Tomato,Vegetables,SUP-002,1441.32,19.04,83.83,775.5,438.0,79.2,Yes,Zone-D,3.41,1.21,3,Conveyor-A,1006.63,996.69,8.77,5384.22,95.26,0,0,Delayed,74.92,0,193.28,13.41,4832.0,Good,Medium,Reduce Storage Temperature
BATCH-00023,2020-02-18,Afternoon,Onion,Root Vegetables,SUP-005,1057.01,3.4,67.42,1249.4,25.7,34.2,Yes,Zone-C,0.9,5.43,5,Conveyor-B,593.03,1949.84,0.69,3731.76,57.51,0,1,Fulfilled,72.08,3,90.06,8.52,1981.32,Good,Low,Expedite Processing
BATCH-00024,2023-08-25,Morning,Strawberry,Berries,SUP-007,1675.39,,56.07,1268.2,150.5,34.2,Yes,Zone-D,3.3,0.23,5,Conveyor-A,4607.97,390.36,8.27,3039.07,,0,0,Fulfilled,85.58,1,141.57,8.45,11325.6,Good,Low,Monitor & Maintain
BATCH-00025,2020-06-21,Night,Potato,Root Vegetables,SUP-004,1065.47,9.63,,798.5,284.5,22.9,Yes,Zone-B,9.1,2.74,2,Conveyor-A,2055.71,492.2,8.61,2940.45,,1,0,Partial,92.93,1,81.4,7.64,1465.2,Good,Low,Activate Backup Supplier
BATCH-00026,2022-07-31,Afternoon,Tomato,Vegetables,SUP-005,1278.46,12.02,85.13,1202.9,309.2,66.3,Yes,Zone-C,2.16,1.0,3,Conveyor-A,886.24,1580.7,6.16,1895.44,62.99,0,0,Fulfilled,88.66,0,149.32,11.68,3733.0,Good,Medium,Monitor & Maintain
BATCH-00027,2020-12-31,Morning,Onion,Root Vegetables,SUP-001,1007.71,5.84,73.45,710.4,35.0,9.2,Yes,Zone-A,7.76,0.05,5,Packer-Z,2596.1,1908.03,5.06,2733.01,79.27,0,0,Delayed,55.19,0,85.25,8.46,1875.5,Good,Low,Quality Re-inspection Required
BATCH-00028,2023-05-06,Afternoon,Orange,Fruits,SUP-001,1008.5,14.39,60.63,1272.6,332.0,36.1,Yes,Zone-B,7.36,5.6,3,Washer-1,840.31,642.3,1.55,6416.1,80.05,0,0,Fulfilled,59.38,2,126.57,12.55,4429.95,Good,Medium,Reduce Storage Temperature
BATCH-00029,2022-01-17,Morning,Lemon,Citrus,SUP-015,1559.14,19.27,66.75,419.3,264.0,27.1,No,Zone-B,1.51,0.25,2,Conveyor-B,883.63,195.95,2.78,1677.73,52.74,0,0,Fulfilled,73.89,0,295.61,18.96,8868.3,Bad,High,Restore Cold Chain Immediately
BATCH-00030,2020-07-16,Night,Mango,Fruits,SUP-020,1294.28,10.25,78.85,581.9,413.8,23.6,Yes,Zone-A,3.63,2.98,1,Sorter-X,2699.98,2879.26,5.16,1914.99,,0,0,Cancelled,92.48,2,60.96,4.71,3657.6,Good,Low,Monitor & Maintain
BATCH-00031,2022-04-13,Morning,Potato,Root Vegetables,SUP-019,1303.2,,48.04,694.0,111.1,7.7,Yes,Zone-C,2.3,0.97,6,Conveyor-B,2789.76,179.73,8.72,2397.98,59.93,0,0,Fulfilled,65.43,2,102.3,7.85,1841.4,Good,Low,Quality Re-inspection Required
BATCH-00032,2021-08-18,Afternoon,Orange,Fruits,SUP-010,955.54,6.32,54.77,1327.5,97.5,19.9,Yes,Zone-A,0.72,3.33,6,Washer-1,3110.64,105.95,8.13,4101.6,53.52,0,0,Fulfilled,93.67,1,60.29,6.31,2110.15,Good,Low,Monitor & Maintain
BATCH-00033,2022-08-23,Afternoon,Pineapple,Fruits,SUP-018,1109.11,18.05,65.82,479.7,396.7,43.9,Yes,Zone-B,2.14,2.77,6,Conveyor-A,3453.4,1037.69,5.21,3599.02,56.24,0,0,Fulfilled,59.84,0,173.35,15.63,7800.75,Bad,Medium,Reduce Storage Temperature
BATCH-00034,2023-07-11,Night,Orange,Fruits,SUP-003,1516.86,19.48,72.19,625.7,351.9,49.4,Yes,Zone-B,2.41,2.01,5,Conveyor-A,3507.2,745.11,7.96,2693.23,61.98,0,1,Delayed,58.19,2,266.97,17.6,9343.95,Bad,Medium,Reduce Storage Temperature
BATCH-00035,2021-08-20,Night,Lemon,Citrus,SUP-011,1669.29,16.15,60.26,830.3,395.8,27.3,Yes,Zone-B,2.08,,3,Sorter-X,2448.49,1763.4,7.77,2304.62,67.28,1,0,Fulfilled,95.19,0,258.07,15.46,7742.1,Bad,Medium,Reduce Storage Temperature
BATCH-00036,2021-02-27,Afternoon,Pineapple,Fruits,SUP-015,1423.47,11.77,58.43,411.0,391.0,63.1,No,Zone-A,1.37,0.21,1,Conveyor-B,3395.9,2693.21,6.0,7114.79,,0,0,Fulfilled,,2,236.72,16.63,10652.4,Bad,Medium,Restore Cold Chain Immediately
BATCH-00037,2020-01-22,Afternoon,Potato,Root Vegetables,SUP-011,1855.74,19.22,46.86,1314.5,52.0,33.6,Yes,Zone-D,5.5,3.2,2,Conveyor-B,1871.33,1495.21,2.59,6954.36,60.9,0,0,Fulfilled,75.41,1,247.74,13.35,4459.32,Good,Medium,Reduce Storage Temperature
BATCH-00038,2022-04-19,Afternoon,Lemon,Citrus,SUP-017,1658.62,4.77,,,139.3,36.5,Yes,Zone-B,3.57,,4,Sorter-X,2485.89,2342.57,3.81,6144.73,83.5,0,1,Delayed,69.34,2,1117.1632246223508,9.2,4577.7,Good,Low,Quality Re-inspection Required
BATCH-00039,2021-08-10,Night,Banana,Fruits,SUP-017,1167.54,,,1480.8,130.0,75.6,Yes,Zone-B,9.13,0.76,6,Conveyor-B,2269.97,2736.76,2.06,3124.25,52.89,0,0,Fulfilled,61.5,1,150.73,12.91,3014.6,Good,Medium,Prioritize Dispatch
BATCH-00040,2021-06-30,Afternoon,Mango,Fruits,SUP-006,1375.67,,68.87,437.2,467.3,53.9,No,Zone-C,2.28,,5,Conveyor-B,1981.0,649.26,0.57,3540.69,82.91,0,0,Fulfilled,82.81,3,230.29,16.74,13817.4,Bad,Medium,Restore Cold Chain Immediately
BATCH-00041,2020-09-24,Night,Potato,Root Vegetables,SUP-005,1859.99,10.85,70.04,725.7,243.7,91.6,Yes,Zone-D,6.23,2.07,5,Conveyor-B,1573.57,1516.1,1.26,5528.56,89.74,0,0,Partial,97.4,1,163.31,8.78,2939.58,Good,Low,Prioritize Dispatch
BATCH-00042,2021-09-19,Afternoon,Banana,Fruits,SUP-008,1276.42,16.44,,1277.5,55.5,35.8,Yes,Zone-C,9.06,2.67,3,Sorter-X,853.07,1962.0,7.72,3354.77,80.24,0,1,Partial,83.96,1,180.87,14.17,3617.4,Good,Medium,Reduce Storage Temperature
BATCH-00043,2023-12-08,Morning,Onion,Root Vegetables,SUP-002,1667.13,14.07,63.44,1210.2,144.8,79.8,No,Zone-B,0.95,0.41,2,Sorter-X,2776.6,1062.46,0.82,4742.92,60.07,0,0,Fulfilled,70.56,1,288.75,17.32,6352.5,Bad,Medium,Restore Cold Chain Immediately
BATCH-00044,2021-03-10,Morning,Potato,Root Vegetables,SUP-016,1408.74,4.28,56.35,691.7,436.0,71.4,Yes,Zone-D,5.4,0.22,6,Washer-1,2917.8,2245.28,4.3,5443.96,66.52,0,0,Delayed,86.32,3,114.95,8.16,2069.1,Good,Low,Monitor & Maintain
BATCH-00045,2022-05-25,Afternoon,Onion,Root Vegetables,SUP-020,1148.68,8.24,63.03,1114.8,423.5,85.7,Yes,Zone-C,4.78,0.22,2,Conveyor-B,,2145.41,9.86,4676.53,90.26,0,0,Fulfilled,61.3,1,164.03,14.28,3608.66,Good,Medium,Prioritize Dispatch
BATCH-00046,2023-02-07,Morning,Pineapple,Fruits,SUP-012,559.49,8.1,51.24,,450.2,91.9,Yes,Zone-A,9.32,0.7,5,Washer-1,4891.3,1321.17,8.05,4061.18,71.6,1,0,Fulfilled,80.52,0,71.11,12.71,3199.95,Good,Medium,Prioritize Dispatch
BATCH-00047,2022-12-29,Night,Banana,Fruits,SUP-006,909.4,12.18,50.19,440.1,194.3,2.7,Yes,Zone-C,6.81,,5,Packer-Z,3006.33,355.07,7.63,3681.26,62.76,0,0,Fulfilled,75.66,0,50.74,5.58,1014.8,Good,Low,Monitor & Maintain
BATCH-00048,2021-04-25,Morning,Mango,Fruits,SUP-001,1938.71,7.25,,1261.2,320.7,10.3,Yes,Zone-D,3.82,,6,Packer-Z,4500.55,133.55,3.11,6178.73,96.63,0,0,Fulfilled,70.84,3,168.28,8.68,10096.8,Good,Low,Monitor & Maintain
BATCH-00049,2022-06-10,Morning,Lemon,Citrus,SUP-004,1349.75,4.11,89.79,702.5,139.1,65.4,Yes,Zone-C,7.26,1.15,6,Conveyor-B,3065.38,1171.11,6.6,5953.58,81.87,0,0,Fulfilled,87.54,3,87.6,6.49,2628.0,Good,Low,Monitor & Maintain
BATCH-00050,2023-06-26,Night,Leafy Greens,Vegetables,SUP-017,1172.35,13.77,59.69,,90.4,38.7,No,Zone-D,6.04,4.47,3,Conveyor-A,1354.62,338.0,5.24,5705.09,90.29,0,0,Fulfilled,60.21,3,198.83,16.96,2982.45,Bad,Medium,Restore Cold Chain Immediately
BATCH-00051,2020-01-23,Morning,Orange,Fruits,SUP-013,1872.62,17.32,87.14,1045.9,11.0,79.0,Yes,Zone-D,3.8,2.53,3,Packer-Z,4885.8,2366.71,6.43,3836.87,51.23,1,0,Fulfilled,,2,305.24,16.3,10683.4,Bad,Medium,Reduce Storage Temperature
BATCH-00052,2021-09-28,Morning,Tomato,Vegetables,SUP-018,1214.37,18.77,62.65,440.1,111.7,3.1,Yes,Zone-C,7.96,,4,Conveyor-A,4484.01,1069.54,4.64,6167.03,66.97,0,0,Partial,92.59,1,87.31,7.19,2182.75,Good,Low,Reduce Storage Temperature
BATCH-00053,2020-11-23,Afternoon,Mango,Fruits,SUP-005,1099.56,19.51,64.76,884.1,302.2,77.9,No,Zone-C,6.85,0.09,1,Washer-1,2620.73,2031.68,5.54,7224.26,72.94,0,1,Partial,63.88,1,282.59,25.7,16955.4,Bad,High,Restore Cold Chain Immediately
BATCH-00054,2021-07-21,Night,Banana,Fruits,SUP-003,1542.69,16.06,80.87,1559.6,452.1,14.7,No,Zone-A,0.55,2.47,3,Conveyor-B,,1104.5,9.89,5662.97,79.37,1,0,Fulfilled,66.64,3,286.94,18.6,5738.8,Bad,High,Restore Cold Chain Immediately
BATCH-00055,2021-08-30,Night,Leafy Greens,Vegetables,SUP-011,1454.06,4.51,49.21,1276.4,66.7,29.3,No,Zone-C,8.72,3.74,1,Washer-1,1502.01,2408.22,3.63,4029.89,59.5,0,0,Fulfilled,84.07,3,121.41,8.35,1821.15,Good,Low,Restore Cold Chain Immediately
BATCH-00056,2022-12-26,Afternoon,Mango,Fruits,SUP-013,467.0,35.046805318006335,53.2,760.6,459.0,93.1,Yes,Zone-D,4.27,2.41,5,Washer-1,4127.09,2676.4,2.56,6287.56,74.9,0,0,Fulfilled,88.99,0,67.76,14.51,4065.6,Good,Medium,Reduce Storage Temperature
BATCH-00057,2020-05-16,Afternoon,Banana,Fruits,SUP-004,995.49,9.2,88.82,1090.3,172.7,6.9,Yes,Zone-B,6.63,2.06,4,Sorter-X,811.03,2528.79,4.76,5200.05,84.28,1,0,Delayed,67.47,0,107.41,10.79,2148.2,Good,Medium,Activate Backup Supplier
BATCH-00058,2022-01-18,Morning,Strawberry,Berries,SUP-014,997.78,15.14,67.77,1118.9,213.4,34.8,No,Zone-C,4.27,0.57,4,Conveyor-B,3371.27,1504.97,5.48,6759.3,,0,0,Partial,,1,176.51,17.69,14120.8,Bad,Medium,Restore Cold Chain Immediately
BATCH-00059,2022-04-03,Morning,Strawberry,Berries,SUP-011,818.63,11.56,46.99,,182.5,9.9,Yes,Zone-C,8.87,1.36,4,Sorter-X,3380.61,343.46,1.31,5803.59,84.57,0,0,Partial,87.56,0,20.06,2.45,1604.8,Good,Low,Monitor & Maintain
BATCH-00060,2021-12-22,Morning,Onion,Root Vegetables,SUP-010,1082.86,16.91,47.13,614.6,204.3,82.2,Yes,Zone-D,6.68,,2,Washer-1,1321.05,1177.96,8.16,6133.24,69.48,1,0,Fulfilled,67.55,0,199.25,18.4,4383.5,Bad,High,Reduce Storage Temperature
BATCH-00061,2022-12-04,Afternoon,Mango,Fruits,SUP-019,884.9,9.66,85.83,1062.1,129.6,68.1,Yes,Zone-B,6.0,0.43,6,Conveyor-A,3672.11,1330.92,4.51,5537.81,73.47,0,0,Fulfilled,84.31,1,75.92,8.58,4555.2,Good,Low,Monitor & Maintain
BATCH-00062,2021-07-14,Night,Strawberry,Berries,SUP-018,478.76,3.11,84.3,883.3,349.3,77.2,Yes,Zone-A,9.81,1.29,6,Conveyor-B,3674.33,2884.74,4.43,2194.64,56.71,1,1,Fulfilled,,3,71.05,14.84,5684.0,Good,Medium,Prioritize Dispatch
BATCH-00063,2023-10-11,Morning,Banana,Fruits,SUP-006,883.5,12.02,65.63,628.0,379.1,51.6,Yes,Zone-B,3.17,0.25,5,Conveyor-B,2075.14,1739.94,6.76,4478.53,82.56,0,0,Fulfilled,73.1,3,63.52,7.19,1270.4,Good,Low,Monitor & Maintain
BATCH-00064,2021-12-04,Afternoon,Onion,Root Vegetables,SUP-015,237.33,5.08,52.34,1327.2,411.6,35.6,No,Zone-D,1.12,1.51,2,Packer-Z,2675.19,1958.45,7.85,1988.21,61.21,1,0,Partial,85.3,1,34.96,14.73,769.12,Good,Medium,Restore Cold Chain Immediately
BATCH-00065,2022-04-13,Night,Banana,Fruits,SUP-010,1193.99,19.38,82.36,986.8,170.6,2.2,Yes,Zone-D,5.4,1.7,2,Conveyor-A,4247.44,2367.81,9.87,4260.26,91.44,0,0,Partial,75.24,3,131.58,11.02,2631.6,Good,Medium,Reduce Storage Temperature
BATCH-00066,2023-04-20,Afternoon,Onion,Root Vegetables,SUP-005,1721.94,11.49,59.61,772.0,382.3,28.1,Yes,Zone-D,4.53,1.53,4,Conveyor-A,2854.19,1747.79,2.15,5822.44,77.67,0,1,Partial,55.85,3,244.69,14.21,5383.18,Good,Medium,Quality Re-inspection Required
BATCH-00067,2021-02-05,Morning,Mango,Fruits,SUP-005,1478.05,11.96,63.86,594.0,318.8,50.4,Yes,Zone-D,4.82,1.27,2,Washer-1,3281.71,1835.61,3.78,4107.49,78.01,0,0,Delayed,72.88,1,163.03,11.03,9781.8,Good,Medium,Monitor & Maintain
BATCH-00068,2020-04-19,Afternoon,Leafy Greens,Vegetables,SUP-010,784.75,18.33,75.71,1133.4,479.0,64.5,Yes,Zone-B,6.39,1.77,5,Washer-1,2357.46,811.45,2.1,1669.47,95.62,0,0,Fulfilled,67.69,2,124.85,15.91,1872.75,Bad,Medium,Reduce Storage Temperature
BATCH-00069,2022-10-30,Afternoon,Lemon,Citrus,SUP-005,265.44,13.24,60.9,1199.5,212.4,23.5,No,Zone-B,6.34,11.49,5,Washer-1,1173.2,270.71,8.87,3805.55,58.37,0,0,Delayed,59.46,3,49.93,18.81,1497.9,Bad,High,Restore Cold Chain Immediately
BATCH-00070,2021-12-06,Afternoon,Potato,Root Vegetables,SUP-003,484.08,7.45,,1203.5,496.2,15.1,No,Zone-B,4.23,1.95,2,Packer-Z,4991.3,2192.02,5.71,2053.68,,0,0,Partial,55.4,1,67.53,13.95,1215.54,Good,Medium,Restore Cold Chain Immediately
BATCH-00071,2023-08-01,Afternoon,Leafy Greens,Vegetables,SUP-006,1136.43,7.33,84.84,664.3,370.2,21.0,Yes,Zone-C,8.7,,6,Conveyor-A,2891.91,2561.19,8.6,6195.27,69.11,1,0,Fulfilled,57.0,2,154.21,13.57,2313.15,Good,Medium,Activate Backup Supplier
BATCH-00072,2023-12-05,Night,Pineapple,Fruits,SUP-004,493.41,11.03,80.88,1114.4,388.1,35.3,No,Zone-D,6.69,0.43,5,Sorter-X,2014.01,1294.8,9.86,6213.6,98.32,0,0,Partial,96.77,0,58.86,11.93,2648.7,Good,Medium,Restore Cold Chain Immediately
BATCH-00073,2021-08-05,Morning,Banana,Fruits,SUP-018,1133.55,17.6,62.17,1486.5,12.9,15.9,Yes,Zone-C,8.95,1.51,6,Conveyor-A,3712.04,1691.85,5.73,6345.06,89.64,1,0,Fulfilled,87.99,3,155.98,13.76,3119.6,Good,Medium,Reduce Storage Temperature
BATCH-00074,2021-08-29,Night,Pineapple,Fruits,SUP-009,540.04,16.31,57.96,823.8,248.7,16.7,Yes,Zone-C,9.17,0.02,1,Sorter-X,3293.7,991.13,1.62,1836.2,87.88,1,0,Fulfilled,96.35,1,50.12,9.28,2255.4,Good,Low,Reduce Storage Temperature
BATCH-00075,2021-08-18,Afternoon,Leafy Greens,Vegetables,SUP-017,1712.96,19.33,57.85,652.9,264.2,6.1,Yes,Zone-C,2.09,0.06,2,Conveyor-B,1548.09,1405.64,3.93,1847.48,60.21,0,0,Fulfilled,60.05,0,193.74,11.31,2906.1,Good,Medium,Reduce Storage Temperature
BATCH-00076,2021-04-18,Afternoon,Onion,Root Vegetables,SUP-013,854.82,3.29,60.69,1326.6,20.3,82.5,No,Zone-A,6.97,0.78,4,Sorter-X,4446.16,705.78,0.84,6909.04,61.87,1,0,Fulfilled,80.1,0,122.92,14.38,2704.24,Good,Medium,Restore Cold Chain Immediately
BATCH-00077,2023-02-15,Morning,Potato,Root Vegetables,SUP-015,566.55,6.83,67.21,612.3,156.1,22.7,Yes,Zone-C,3.52,1.26,4,Conveyor-B,819.06,2303.67,8.57,2378.6,51.46,0,0,Fulfilled,58.66,2,43.11,7.61,775.98,Good,Low,Quality Re-inspection Required
BATCH-00078,2023-01-13,Morning,Potato,Root Vegetables,SUP-020,1643.42,3.44,63.75,704.5,477.8,79.3,Yes,Zone-D,8.45,1.71,5,Washer-1,3225.64,1526.54,0.67,5553.22,81.93,0,0,Fulfilled,56.18,1,146.26,8.9,2632.68,Good,Low,Prioritize Dispatch
BATCH-00079,2021-11-29,Night,Tomato,Vegetables,SUP-017,751.39,,50.99,520.8,213.1,43.2,Yes,Zone-C,7.46,4.38,5,Conveyor-A,2650.5,1686.75,6.13,6281.59,68.54,0,0,Delayed,75.52,2,107.82,14.35,2695.5,Good,Medium,Reduce Storage Temperature
BATCH-00080,2020-03-06,Night,Potato,Root Vegetables,SUP-013,311.83,4.54,52.36,721.4,93.4,61.4,Yes,Zone-D,2.39,31.27391452124972,4,Washer-1,1931.89,207.56,1.51,4262.09,65.6,0,0,Partial,83.44,0,33.24,10.66,598.32,Good,Medium,Monitor & Maintain
BATCH-00081,2021-03-27,Morning,Lemon,Citrus,SUP-016,1183.78,3.8,60.43,892.4,256.7,9.1,Yes,Zone-A,9.42,0.71,1,Conveyor-A,4218.71,1904.96,0.57,4835.0,81.85,1,0,Fulfilled,57.8,3,68.78,5.81,2063.4,Good,Low,Activate Backup Supplier
BATCH-00082,2021-03-02,Night,Potato,Root Vegetables,SUP-004,1204.97,35.40311970618393,70.29,477.0,16.9,56.9,Yes,Zone-B,6.99,2.72,4,Sorter-X,3453.25,687.7,2.93,2981.08,91.43,0,1,Fulfilled,71.06,2,142.67,11.84,2568.06,Good,Medium,Monitor & Maintain
BATCH-00083,2023-03-30,Afternoon,Leafy Greens,Vegetables,SUP-005,1457.92,9.41,71.67,1446.1,258.0,29.3,No,Zone-D,9.51,1.59,2,Conveyor-A,3917.75,1211.84,5.74,7026.12,56.65,0,0,Delayed,58.97,1,244.64,16.78,3669.6,Bad,Medium,Restore Cold Chain Immediately
BATCH-00084,2020-05-07,Afternoon,Tomato,Vegetables,SUP-005,556.42,14.87,66.88,1016.4,297.1,10.9,Yes,Zone-C,2.42,3.02,4,Sorter-X,,1296.88,1.21,3413.46,95.93,0,0,Fulfilled,70.93,1,50.3,9.04,1257.5,Good,Low,Reduce Storage Temperature
BATCH-00085,2023-03-22,Morning,Leafy Greens,Vegetables,SUP-009,943.17,10.77,78.24,1105.7,178.8,87.4,Yes,Zone-D,8.76,,3,Conveyor-A,4740.79,1401.32,6.34,2925.48,51.71,0,0,Fulfilled,75.76,0,111.29,11.8,1669.35,Good,Medium,Prioritize Dispatch
