route,season,quantity_kg,distance_km,vehicle_type,road_condition,packaging_type,temperature_c,humidity_pct,transit_hours,days_to_spoil,spoilage_loss_pct
Dambulla - Colombo,Wet,157,102,Covered Truck,Poor,Cardboard Box,26.4,88.3,4.5,3.4,20.31
Dambulla - Colombo,Wet,426,141,Open Truck,Good,Ventilated Box,26.7,67.1,5,9.5,11.55
Dambulla - Colombo,Wet,634,121,Open Truck,Moderate,Cardboard Box,25.5,75.7,4.8,1.5,22.89
Dambulla - Colombo,Wet,620,118,Refrigerated Van,Good,Sack,30.1,83.2,7.3,8.9,17.01
Dambulla - Colombo,Wet,148,138,Open Truck,Good,Sack,29.2,85,6.3,1.5,24.03
Dambulla - Colombo,Dry,406,131,Refrigerated Van,Good,Cardboard Box,36.6,64,7.8,11.9,12.25
Dambulla - Colombo,Wet,87,143,Three-Wheeler,Good,Plastic Crate,29.6,94.1,5.6,5.8,21.43
Dambulla - Colombo,Dry,372,116,Open Truck,Poor,Ventilated Box,31,75.1,6.4,1.8,20.65
Dambulla - Colombo,Wet,606,143,Refrigerated Van,Moderate,Cardboard Box,30.3,84.5,6.2,9.9,18.34
Dambulla - Colombo,Wet,307,114,Three-Wheeler,Poor,Ventilated Box,27.1,77,3.1,11.8,14.88
Dambulla - Colombo,Dry,516,108,Covered Truck,Moderate,Cardboard Box,32.9,59.9,3.5,4.1,21.78
Dambulla - Colombo,Wet,450,111,Covered Truck,Good,Ventilated Box,26.9,83.2,6.4,10.2,14.58
Dambulla - Colombo,Dry,695,96,Three-Wheeler,Moderate,Cardboard Box,29.6,70.3,3.9,10.5,16.3
Dambulla - Colombo,Dry,179,113,Covered Truck,Good,Ventilated Box,31.2,75,4,13.3,10.92
Dambulla - Colombo,Dry,502,121,Three-Wheeler,Good,Cardboard Box,32.1,69.5,4.8,8.7,17.33
Dambulla - Colombo,Wet,109,99,Refrigerated Van,Good,Ventilated Box,24.9,90.7,4.9,14.5,11.4
Dambulla - Colombo,Wet,504,130,Covered Truck,Good,Ventilated Box,28.5,86.3,4.1,3.2,21.31
Dambulla - Colombo,Dry,323,95,Open Truck,Moderate,Ventilated Box,33.1,64.1,3.1,6.2,16.91
Dambulla - Colombo,Wet,721,125,Open Truck,Moderate,Ventilated Box,30.3,87.1,7.4,1.5,23.66
Dambulla - Colombo,Dry,735,123,Covered Truck,Moderate,Ventilated Box,29.8,74.5,6.3,10.5,14.43
Dambulla - Colombo,Dry,419,93,Open Truck,Moderate,Plastic Crate,31.5,73.3,5.3,3.8,19.94
Dambulla - Colombo,Wet,63,87,Open Truck,Poor,Cardboard Box,31.4,84.8,4,10.1,15.78
Dambulla - Colombo,Wet,763,116,Open Truck,Good,Sack,25.7,86.5,5.1,9.7,15.52
Dambulla - Colombo,Dry,581,121,Covered Truck,Poor,Plastic Crate,33.8,66.4,5.2,12.2,16.62
Dambulla - Colombo,Dry,420,120,Covered Truck,Moderate,Cardboard Box,34.8,77.8,4.7,4.6,18.28
Dambulla - Colombo,Dry,383,114,Covered Truck,Moderate,Plastic Crate,29.8,76.3,4.9,10.8,11.01
Dambulla - Colombo,Dry,77,104,Open Truck,Poor,Plastic Crate,34.9,78.8,3.7,3.5,21.26
Dambulla - Colombo,Dry,410,138,Open Truck,Poor,Plastic Crate,32.1,66.2,6.5,2.3,17.8
Dambulla - Colombo,Wet,416,133,Open Truck,Moderate,Cardboard Box,27.2,94.5,5.2,3.5,21.44
Dambulla - Colombo,Dry,61,89,Open Truck,Good,Sack,32.8,67.5,5.2,9.8,15.73
Dambulla - Colombo,Wet,424,129,Open Truck,Moderate,Plastic Crate,25.8,84.4,7.6,9.4,16.42
Dambulla - Colombo,Dry,793,102,Three-Wheeler,Good,Sack,30.7,67.8,5.8,2.5,23.47
Dambulla - Colombo,Wet,753,125,Refrigerated Van,Good,Cardboard Box,29.3,87.9,6.7,5.9,17.13
Dambulla - Colombo,Wet,531,130,Open Truck,Good,Plastic Crate,27.4,87.8,4.8,4.7,19.8
Dambulla - Colombo,Wet,522,99,Covered Truck,Good,Plastic Crate,31.3,91.5,4.2,3.2,21.42
Dambulla - Colombo,Dry,503,105,Covered Truck,Moderate,Sack,31,77.7,4.5,8.8,15.31
Dambulla - Colombo,Dry,166,105,Refrigerated Van,Poor,Sack,31.4,78.9,3.9,11.1,15.17
Dambulla - Colombo,Wet,718,132,Open Truck,Moderate,Plastic Crate,27.9,76.3,6.1,10.6,13.39
Dambulla - Colombo,Wet,208,115,Covered Truck,Poor,Sack,27.7,81,5.6,8.4,17.05
Dambulla - Colombo,Dry,167,126,Covered Truck,Good,Sack,29.6,68.4,4.7,4.9,19.61
Dambulla - Colombo,Wet,99,133,Covered Truck,Moderate,Ventilated Box,28.4,83.6,7,11.7,14.88
Dambulla - Colombo,Wet,711,128,Covered Truck,Moderate,Sack,26.9,78.5,4.2,9.1,18.34
Dambulla - Colombo,Dry,603,119,Open Truck,Moderate,Ventilated Box,31.8,68,5.6,8.9,16.23
Dambulla - Colombo,Wet,790,123,Covered Truck,Poor,Cardboard Box,29.4,91.8,4.3,10.7,15.51
Dambulla - Colombo,Dry,430,122,Covered Truck,Moderate,Cardboard Box,31.6,58.7,5.7,5.2,16.57
Dambulla - Colombo,Dry,526,106,Refrigerated Van,Moderate,Sack,26.1,64.2,6.2,7.1,14.07
Dambulla - Colombo,Dry,328,104,Covered Truck,Poor,Cardboard Box,34.3,60.7,4.5,1.9,21.72
Dambulla - Colombo,Wet,509,123,Open Truck,Moderate,Cardboard Box,26.1,83.4,5.2,2,19.27
Dambulla - Colombo,Dry,311,107,Covered Truck,Good,Ventilated Box,28.9,58.4,5.6,7.9,14.95
Dambulla - Colombo,Wet,511,119,Covered Truck,Moderate,Ventilated Box,28.2,81.4,5.1,7.4,17.05
Dambulla - Colombo,Dry,338,94,Open Truck,Good,Plastic Crate,31.1,67.9,3.1,7.6,16.53
Dambulla - Colombo,Wet,586,137,Refrigerated Van,Good,Plastic Crate,25.3,80.2,6.5,3.1,20.47
Dambulla - Colombo,Wet,394,115,Covered Truck,Good,Sack,23.9,89.5,6.8,2.9,19.12
Dambulla - Colombo,Dry,429,123,Open Truck,Good,Cardboard Box,31,63.6,5.1,1.5,23.38
Dambulla - Colombo,Dry,504,91,Refrigerated Van,Poor,Plastic Crate,27.6,66.7,4.4,15.2,10.74
Dambulla - Colombo,Dry,62,142,Open Truck,Moderate,Sack,33.2,63.2,6.9,9.3,16.49
Dambulla - Colombo,Dry,643,88,Covered Truck,Moderate,Cardboard Box,30.9,62.4,3.3,4.7,14.27
Dambulla - Colombo,Dry,291,144,Covered Truck,Poor,Ventilated Box,33.9,61.3,6.3,1.5,24.53
Dambulla - Colombo,Wet,136,103,Covered Truck,Good,Ventilated Box,28.1,77.5,6.9,7.3,16.04
Dambulla - Colombo,Dry,589,136,Three-Wheeler,Moderate,Sack,31.6,67.9,5.8,4,19.49
Dambulla - Colombo,Dry,378,101,Refrigerated Van,Good,Sack,31.1,62.9,5.9,4.4,18.54
Dambulla - Colombo,Dry,537,134,Open Truck,Good,Ventilated Box,29.5,68.2,4.9,1.5,21.36
Dambulla - Colombo,Wet,463,144,Open Truck,Good,Ventilated Box,25.4,70.2,5.2,4.1,18.04
Dambulla - Colombo,Dry,710,131,Open Truck,Poor,Plastic Crate,30.1,71.3,6.8,5.6,17.61
Dambulla - Colombo,Dry,456,111,Refrigerated Van,Good,Cardboard Box,32,64.1,4.5,5.7,19.44
Dambulla - Colombo,Dry,278,123,Refrigerated Van,Moderate,Sack,35.5,71.7,6.4,8.7,16.65
Dambulla - Colombo,Dry,454,126,Refrigerated Van,Poor,Cardboard Box,30.5,62.9,4.6,8.6,16.6
Dambulla - Colombo,Dry,260,135,Covered Truck,Moderate,Cardboard Box,27.4,61.4,5.1,5.2,18.64
Dambulla - Colombo,Wet,632,141,Open Truck,Moderate,Sack,24.2,89.6,5.8,6.6,19.34
Dambulla - Colombo,Wet,368,115,Refrigerated Van,Good,Cardboard Box,30.6,85.6,5.5,13.7,12.28
Dambulla - Colombo,Wet,677,139,Open Truck,Poor,Plastic Crate,25.1,80.8,4.6,1.5,24.93
Dambulla - Colombo,Wet,124,99,Covered Truck,Moderate,Cardboard Box,24.7,81.9,5.9,1.5,23.98
Dambulla - Colombo,Dry,351,135,Open Truck,Poor,Ventilated Box,32.1,69.2,4.3,6.3,16.42
Dambulla - Colombo,Dry,362,123,Refrigerated Van,Moderate,Ventilated Box,33.3,76.6,6.1,6.4,15.14
Dambulla - Colombo,Dry,667,94,Refrigerated Van,Poor,Sack,33.2,63.8,5.7,6.8,16.37
Dambulla - Colombo,Dry,688,134,Open Truck,Good,Sack,26.1,72.7,5.4,2.8,19.15
Dambulla - Colombo,Dry,630,141,Three-Wheeler,Moderate,Sack,27.1,64.8,7.3,12.2,13.8
Dambulla - Colombo,Wet,376,134,Covered Truck,Poor,Cardboard Box,26,80.1,5.1,7.2,18.3
Dambulla - Colombo,Dry,566,130,Refrigerated Van,Good,Sack,36.4,73.6,5.6,8.2,16.41
Dambulla - Colombo,Dry,610,94,Refrigerated Van,Good,Plastic Crate,34.5,68.3,5,9.4,13.69
Dambulla - Colombo,Dry,430,106,Refrigerated Van,Poor,Plastic Crate,31.8,66.5,4.7,14.6,11.09
Dambulla - Colombo,Wet,650,136,Covered Truck,Good,Plastic Crate,28.2,87.3,4.9,11.1,13.64
Dambulla - Colombo,Dry,287,92,Covered Truck,Good,Cardboard Box,29,73.6,3.9,4.9,15.25
Dambulla - Colombo,Wet,569,124,Open Truck,Moderate,Ventilated Box,27.3,84.9,5.7,2.8,18.85
Dambulla - Colombo,Dry,582,100,Three-Wheeler,Poor,Ventilated Box,31.1,76.5,4.2,3.1,22.86
Dambulla - Colombo,Wet,431,88,Covered Truck,Good,Plastic Crate,26.5,83.7,5.4,9.4,14.9
Dambulla - Colombo,Dry,525,108,Covered Truck,Moderate,Plastic Crate,27.7,74.5,6,4.3,15.28
Dambulla - Colombo,Dry,225,102,Open Truck,Good,Cardboard Box,31.6,70.5,5,9.9,16.49
Dambulla - Colombo,Wet,503,119,Three-Wheeler,Moderate,Cardboard Box,26.8,83.8,3.7,1.8,25.54
Dambulla - Colombo,Dry,703,119,Covered Truck,Poor,Plastic Crate,28.5,63.9,4.6,12.3,11.98
Dambulla - Colombo,Wet,751,130,Refrigerated Van,Good,Ventilated Box,27.1,75.2,6.7,5.6,14.6
Dambulla - Colombo,Wet,222,126,Three-Wheeler,Good,Ventilated Box,29.3,80.4,6.2,10.1,15.64
Dambulla - Colombo,Wet,722,124,Covered Truck,Moderate,Cardboard Box,28.9,93,4.5,2.7,20.52
Dambulla - Colombo,Dry,65,125,Refrigerated Van,Moderate,Plastic Crate,33.4,78.3,5.2,10.5,15.11
Dambulla - Colombo,Dry,250,104,Open Truck,Poor,Ventilated Box,29.2,68.2,5.2,7.4,16.89
Dambulla - Colombo,Wet,654,131,Open Truck,Moderate,Cardboard Box,26.4,71,5.8,3.9,19.77
Dambulla - Colombo,Wet,211,87,Open Truck,Moderate,Cardboard Box,29.8,78,5.6,6.4,19.89
Dambulla - Colombo,Dry,473,141,Covered Truck,Good,Cardboard Box,30.5,58.4,6.1,6.2,13.81
Dambulla - Colombo,Dry,367,123,Covered Truck,Good,Sack,29.8,72.7,5.2,5.4,17.55
Dambulla - Colombo,Dry,543,125,Open Truck,Poor,Ventilated Box,31.3,55,6.9,4.4,17.62
Dambulla - Colombo,Dry,502,129,Three-Wheeler,Moderate,Ventilated Box,27,73.4,6.6,3.6,18.41
Dambulla - Colombo,Wet,381,112,Refrigerated Van,Poor,Cardboard Box,25.8,80.2,6.2,11.2,14.28
Dambulla - Colombo,Wet,678,112,Covered Truck,Poor,Ventilated Box,28.5,86.6,6,3.4,20.22
Dambulla - Colombo,Dry,176,110,Refrigerated Van,Moderate,Plastic Crate,37.7,65.1,5.5,7.2,17.66
Dambulla - Colombo,Wet,413,137,Covered Truck,Poor,Cardboard Box,25,87.5,5.5,3.2,20.41
Dambulla - Colombo,Wet,339,120,Open Truck,Poor,Cardboard Box,31.3,72,5.5,9.9,15.28
Dambulla - Colombo,Wet,444,127,Three-Wheeler,Good,Sack,31.3,90.4,6.5,5.4,23.91
Dambulla - Colombo,Dry,628,89,Covered Truck,Moderate,Plastic Crate,29,70.5,6.2,4.4,16.84
Dambulla - Colombo,Dry,173,121,Three-Wheeler,Moderate,Plastic Crate,26.5,65.9,4.5,2.4,22.71
Dambulla - Colombo,Wet,118,129,Covered Truck,Good,Plastic Crate,27.7,84.7,5.7,5.1,19.84
Dambulla - Colombo,Wet,582,133,Refrigerated Van,Moderate,Sack,26,78.3,6.2,10.4,13.99
Dambulla - Colombo,Wet,713,119,Covered Truck,Moderate,Plastic Crate,29.6,78.1,5.1,5.8,17.63
Dambulla - Colombo,Dry,536,96,Refrigerated Van,Poor,Plastic Crate,31.7,78.6,6.1,6.9,17.29
Dambulla - Colombo,Dry,744,128,Open Truck,Poor,Plastic Crate,31.9,67.8,5.1,1.5,22.06
Dambulla - Colombo,Dry,736,137,Covered Truck,Moderate,Ventilated Box,34.4,63,4.8,13.6,12.73
Dambulla - Colombo,Wet,492,92,Open Truck,Poor,Ventilated Box,24.5,87.8,6.3,10.4,16.79
Dambulla - Colombo,Wet,745,96,Refrigerated Van,Moderate,Sack,31.6,89.8,3.6,4.4,22.58
Dambulla - Colombo,Wet,153,85,Open Truck,Poor,Ventilated Box,29.2,84.9,4.3,11.1,14.76
Dambulla - Colombo,Wet,172,116,Open Truck,Good,Plastic Crate,30.7,93.3,7.3,10.2,16.23
Dambulla - Colombo,Wet,264,115,Refrigerated Van,Good,Sack,30.5,89.4,4.9,6.1,18.87
Dambulla - Colombo,Dry,80,137,Refrigerated Van,Moderate,Sack,31.1,69.7,6.7,10.2,15.87
Dambulla - Colombo,Dry,71,112,Refrigerated Van,Moderate,Cardboard Box,28.2,72.7,4.9,13.1,10.34
Dambulla - Colombo,Wet,490,95,Covered Truck,Good,Sack,28.8,76.3,4.6,9.8,14.3
Dambulla - Colombo,Dry,186,95,Three-Wheeler,Moderate,Cardboard Box,28.9,74.8,3.1,3.7,22.62
Dambulla - Colombo,Wet,778,121,Three-Wheeler,Moderate,Sack,29,81.4,4.7,12.7,17.98
Dambulla - Colombo,Wet,150,103,Open Truck,Moderate,Ventilated Box,26.5,80.1,6.2,2.1,20.35
Dambulla - Colombo,Dry,215,115,Covered Truck,Poor,Ventilated Box,34.1,66.1,4.5,10.1,14.99
Dambulla - Colombo,Dry,198,102,Refrigerated Van,Good,Ventilated Box,31.9,62.6,5.9,11.1,13.11
Dambulla - Colombo,Wet,607,137,Open Truck,Moderate,Ventilated Box,29.3,85.5,7.2,5.1,20.05
Dambulla - Colombo,Dry,279,109,Covered Truck,Moderate,Sack,33.3,62.3,4.5,9.7,16.24
Dambulla - Colombo,Dry,183,131,Covered Truck,Poor,Plastic Crate,29.1,68.8,4,4.8,15.5
Dambulla - Colombo,Dry,672,137,Covered Truck,Good,Sack,35.4,79,6.9,13.3,15.65
Dambulla - Colombo,Wet,520,118,Refrigerated Van,Moderate,Sack,28.8,82.9,6,13.9,13.6
Dambulla - Colombo,Dry,75,110,Covered Truck,Poor,Cardboard Box,29.3,71.8,4.4,4.8,17.3
Dambulla - Colombo,Dry,265,85,Refrigerated Van,Moderate,Plastic Crate,32.1,61.8,5.8,11,14.66
Dambulla - Colombo,Dry,787,140,Open Truck,Good,Ventilated Box,27.1,67.9,8,1.5,21.83
Dambulla - Colombo,Wet,567,97,Covered Truck,Poor,Sack,33.5,70.6,4.9,6.5,20.43
Dambulla - Colombo,Dry,360,95,Open Truck,Moderate,Cardboard Box,31.1,70,5.9,2.2,22.72
Dambulla - Colombo,Wet,476,114,Covered Truck,Poor,Plastic Crate,30.6,80.1,4.1,6.6,18.07
Dambulla - Colombo,Wet,219,126,Covered Truck,Poor,Cardboard Box,29.5,80.8,3.7,2.1,24.35
Dambulla - Colombo,Dry,595,93,Open Truck,Moderate,Cardboard Box,29,70,6.5,7,17.65
Dambulla - Colombo,Dry,742,102,Open Truck,Good,Plastic Crate,26.3,74,3.9,6,17.78
Dambulla - Colombo,Dry,327,125,Three-Wheeler,Poor,Plastic Crate,27.2,68.2,7.3,9.8,15.35
Dambulla - Colombo,Wet,376,103,Refrigerated Van,Moderate,Ventilated Box,32,82.6,5.2,8.8,17.84
Dambulla - Colombo,Wet,554,132,Covered Truck,Good,Ventilated Box,25.8,75.8,4.2,3.7,17.28
Dambulla - Colombo,Dry,482,108,Refrigerated Van,Poor,Ventilated Box,33.2,72.5,3.7,15.1,9
Dambulla - Colombo,Dry,134,94,Covered Truck,Moderate,Ventilated Box,29.3,68.2,4.1,7.2,14.28
Dambulla - Colombo,Dry,591,89,Open Truck,Good,Plastic Crate,34,72.9,4.5,11,15.1
Dambulla - Colombo,Wet,251,105,Open Truck,Good,Plastic Crate,26.5,90.5,5.1,1.5,24.06
Dambulla - Colombo,Dry,240,105,Covered Truck,Moderate,Cardboard Box,33.6,62,5.6,10.4,11.99
Dambulla - Colombo,Wet,642,142,Refrigerated Van,Moderate,Plastic Crate,27.3,83.3,6.6,10.9,13.58
Dambulla - Colombo,Dry,593,101,Refrigerated Van,Moderate,Plastic Crate,35.1,55.1,3.9,8.2,16.18
Dambulla - Colombo,Dry,217,139,Refrigerated Van,Good,Sack,33.7,70.2,7,9.9,15.01
Dambulla - Colombo,Wet,144,143,Open Truck,Poor,Sack,22.6,88.6,6.3,1.5,27.29
Dambulla - Colombo,Wet,173,103,Open Truck,Good,Plastic Crate,31,83.6,3.9,5.9,18.91
Dambulla - Colombo,Dry,538,140,Covered Truck,Good,Ventilated Box,31.7,73.7,4.7,5.5,15.24
Dambulla - Colombo,Dry,526,98,Covered Truck,Poor,Cardboard Box,33.8,76.7,5.2,11.6,14.44
Dambulla - Colombo,Dry,730,90,Three-Wheeler,Good,Sack,27.7,68.5,5.8,11,16.22
Dambulla - Colombo,Dry,215,100,Covered Truck,Good,Plastic Crate,30.8,59.3,4.7,8.9,14.56
Dambulla - Colombo,Dry,358,104,Three-Wheeler,Good,Ventilated Box,31.5,63.1,5.7,6.5,18.12
Dambulla - Colombo,Wet,609,137,Covered Truck,Good,Cardboard Box,27.7,76,5.8,2.4,23.05
Dambulla - Colombo,Dry,286,103,Covered Truck,Good,Cardboard Box,31.2,72.3,4,8.3,17.78
