[2026-08-16T18:33:10.264731+00:00] ALERT for batch_id=8: Tomato batch #8: Medium risk (56.7/100). Recommended: Nashik Cold Storage Hub (186.9 km, Rs 18.02/kg).
[2026-08-21T06:32:19.924035+00:00] ALERT for batch_id=35: Chili batch #35: High risk (94.9/100). Recommended: Nashik Cold Storage Hub (186.9 km, Rs 41.47/kg).
[2026-08-21T06:32:19.994681+00:00] ALERT for batch_id=33: Tomato batch #33: Medium risk (53.0/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T06:32:21.033424+00:00] ALERT for batch_id=31: Tomato batch #31: Medium risk (53.0/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T06:32:21.517583+00:00] ALERT for batch_id=29: Potato batch #29: Medium risk (45.1/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 13.79/kg).
[2026-08-21T06:32:21.596825+00:00] ALERT for batch_id=32: Tomato batch #32: Medium risk (53.0/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T06:32:21.605829+00:00] ALERT for batch_id=30: Mango batch #30: High risk (82.2/100). Recommended: Nagpur MIDC Cold Storage (12.7 km, Rs 29.24/kg).
[2026-08-21T06:32:21.696702+00:00] ALERT for batch_id=38: Tomato batch #38: Low risk (28.3/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T06:32:22.632437+00:00] ALERT for batch_id=37: Potato batch #37: Medium risk (37.3/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 13.79/kg).
[2026-08-21T06:32:23.255178+00:00] ALERT for batch_id=36: Tomato batch #36: Medium risk (53.0/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T06:32:23.274624+00:00] ALERT for batch_id=34: Onion batch #34: Low risk (12.6/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 19.81/kg).
[2026-08-21T06:32:23.307771+00:00] ALERT for batch_id=33: Tomato batch #33: Medium risk (53.0/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T06:32:23.376436+00:00] ALERT for batch_id=35: Chili batch #35: High risk (94.9/100). Recommended: Nashik Cold Storage Hub (186.9 km, Rs 41.47/kg).
[2026-08-21T06:32:23.382481+00:00] ALERT for batch_id=31: Tomato batch #31: Medium risk (53.0/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T06:32:24.170881+00:00] ALERT for batch_id=29: Potato batch #29: Medium risk (45.1/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 13.79/kg).
[2026-08-21T06:32:24.939360+00:00] ALERT for batch_id=30: Mango batch #30: High risk (82.2/100). Recommended: Nagpur MIDC Cold Storage (12.7 km, Rs 29.24/kg).
[2026-08-21T06:32:25.053810+00:00] ALERT for batch_id=32: Tomato batch #32: Medium risk (53.0/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T06:32:46.217787+00:00] ALERT for batch_id=39: Tomato batch #39: Low risk (2.1/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T06:33:27.468765+00:00] ALERT for batch_id=40: Tomato batch #40: Low risk (2.4/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T06:33:38.953953+00:00] ALERT for batch_id=41: Tomato batch #41: Low risk (8.0/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T06:33:48.757163+00:00] ALERT for batch_id=42: Tomato batch #42: Medium risk (34.8/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T06:34:12.789788+00:00] ALERT for batch_id=42: Tomato batch #42: Medium risk (34.8/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T06:34:12.798406+00:00] ALERT for batch_id=41: Tomato batch #41: Low risk (13.2/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T06:34:13.134970+00:00] ALERT for batch_id=40: Tomato batch #40: Low risk (2.4/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T06:34:13.141775+00:00] ALERT for batch_id=39: Tomato batch #39: Low risk (2.4/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T06:34:13.164567+00:00] ALERT for batch_id=37: Potato batch #37: Medium risk (37.5/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 13.79/kg).
[2026-08-21T06:34:13.190981+00:00] ALERT for batch_id=38: Tomato batch #38: Low risk (28.5/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T06:34:14.490362+00:00] ALERT for batch_id=35: Chili batch #35: High risk (94.9/100). Recommended: Nashik Cold Storage Hub (186.9 km, Rs 41.47/kg).
[2026-08-21T06:34:14.579242+00:00] ALERT for batch_id=36: Tomato batch #36: Medium risk (53.3/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T06:34:15.053134+00:00] ALERT for batch_id=33: Tomato batch #33: Medium risk (53.3/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T06:34:15.054281+00:00] ALERT for batch_id=42: Tomato batch #42: Medium risk (34.8/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T06:34:15.101664+00:00] ALERT for batch_id=34: Onion batch #34: Low risk (12.7/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 19.81/kg).
[2026-08-21T06:34:16.199442+00:00] ALERT for batch_id=41: Tomato batch #41: Low risk (13.2/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T06:34:16.323785+00:00] ALERT for batch_id=40: Tomato batch #40: Low risk (2.4/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T06:34:16.753131+00:00] ALERT for batch_id=39: Tomato batch #39: Low risk (2.4/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T06:34:16.763186+00:00] ALERT for batch_id=38: Tomato batch #38: Low risk (28.5/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T06:34:16.850480+00:00] ALERT for batch_id=37: Potato batch #37: Medium risk (37.5/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 13.79/kg).
[2026-08-21T06:34:16.886596+00:00] ALERT for batch_id=35: Chili batch #35: High risk (94.9/100). Recommended: Nashik Cold Storage Hub (186.9 km, Rs 41.47/kg).
[2026-08-21T06:34:17.846170+00:00] ALERT for batch_id=36: Tomato batch #36: Medium risk (53.3/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T06:34:17.922659+00:00] ALERT for batch_id=33: Tomato batch #33: Medium risk (53.3/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T06:34:18.426351+00:00] ALERT for batch_id=34: Onion batch #34: Low risk (12.7/100). Recommended: Nashik Cold Storage Hub (36.9 km, Rs 19.81/kg).
[2026-08-21T06:45:11.797182+00:00] ALERT for batch_id=43: Tomato batch #43: Low risk (2.4/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T06:55:01.164472+00:00] ALERT for batch_id=44: Tomato batch #44: Low risk (28.4/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T06:57:54.925677+00:00] ALERT for batch_id=45: Tomato batch #45: Low risk (25.6/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T07:02:18.862375+00:00] ALERT for batch_id=46: Tomato batch #46: Low risk (25.9/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T07:02:21.985640+00:00] ALERT for batch_id=47: Mango batch #47: High risk (75.4/100). Recommended: Nashik Cold Storage Hub (223.1 km, Rs 33.93/kg).
[2026-08-21T07:02:24.843746+00:00] ALERT for batch_id=48: Onion batch #48: Medium risk (35.3/100). Recommended: Nagpur MIDC Cold Storage (31.0 km, Rs 17.75/kg).
[2026-08-21T07:02:28.013301+00:00] ALERT for batch_id=49: Chili batch #49: Low risk (33.8/100). Recommended: Nashik Cold Storage Hub (22.8 km, Rs 41.47/kg).
[2026-08-21T07:02:30.772309+00:00] ALERT for batch_id=50: Potato batch #50: Medium risk (61.7/100). Recommended: Talegaon Cold Chain Storage (56.7 km, Rs 13.21/kg).
[2026-08-21T07:03:37.020261+00:00] ALERT for batch_id=51: Tomato batch #51: Low risk (25.9/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T07:25:07.852070+00:00] ALERT for batch_id=52: Tomato batch #52: Low risk (25.6/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T08:42:21.629903+00:00] ALERT for batch_id=52: Tomato batch #52: Low risk (23.9/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T08:42:21.928587+00:00] ALERT for batch_id=51: Tomato batch #51: Low risk (25.4/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T08:42:22.039828+00:00] ALERT for batch_id=50: Potato batch #50: Medium risk (60.8/100). Recommended: Talegaon Cold Chain Storage (56.7 km, Rs 13.21/kg).
[2026-08-21T08:42:22.344752+00:00] ALERT for batch_id=47: Mango batch #47: High risk (78.4/100). Recommended: Nashik Cold Storage Hub (223.1 km, Rs 33.93/kg).
[2026-08-21T08:42:22.378567+00:00] ALERT for batch_id=49: Chili batch #49: Low risk (32.0/100). Recommended: Nashik Cold Storage Hub (22.8 km, Rs 41.47/kg).
[2026-08-21T08:42:22.437562+00:00] ALERT for batch_id=48: Onion batch #48: Low risk (31.7/100). Recommended: Nagpur MIDC Cold Storage (31.0 km, Rs 17.75/kg).
[2026-08-21T08:42:26.003760+00:00] ALERT for batch_id=46: Tomato batch #46: Low risk (25.4/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T08:42:26.751766+00:00] ALERT for batch_id=45: Tomato batch #45: Low risk (23.9/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T08:42:27.244331+00:00] ALERT for batch_id=44: Tomato batch #44: Low risk (23.9/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T08:42:27.384953+00:00] ALERT for batch_id=52: Tomato batch #52: Low risk (23.9/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T08:42:27.446709+00:00] ALERT for batch_id=43: Tomato batch #43: Low risk (0.0/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T08:42:29.483242+00:00] ALERT for batch_id=51: Tomato batch #51: Low risk (25.4/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T08:42:30.338284+00:00] ALERT for batch_id=50: Potato batch #50: Medium risk (60.8/100). Recommended: Talegaon Cold Chain Storage (56.7 km, Rs 13.21/kg).
[2026-08-21T08:42:30.780252+00:00] ALERT for batch_id=47: Mango batch #47: High risk (78.4/100). Recommended: Nashik Cold Storage Hub (223.1 km, Rs 33.93/kg).
[2026-08-21T08:42:31.698135+00:00] ALERT for batch_id=49: Chili batch #49: Low risk (32.0/100). Recommended: Nashik Cold Storage Hub (22.8 km, Rs 41.47/kg).
[2026-08-21T08:42:31.866651+00:00] ALERT for batch_id=48: Onion batch #48: Low risk (31.7/100). Recommended: Nagpur MIDC Cold Storage (31.0 km, Rs 17.75/kg).
[2026-08-21T08:42:39.582722+00:00] ALERT for batch_id=53: Tomato batch #53: Low risk (0.0/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T08:51:28.082522+00:00] ALERT for batch_id=53: Tomato batch #53: Low risk (0.0/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T08:51:28.090345+00:00] ALERT for batch_id=52: Tomato batch #52: Low risk (23.2/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T08:51:28.487283+00:00] ALERT for batch_id=50: Potato batch #50: Medium risk (60.8/100). Recommended: Talegaon Cold Chain Storage (56.7 km, Rs 13.21/kg).
[2026-08-21T08:51:28.536600+00:00] ALERT for batch_id=51: Tomato batch #51: Low risk (25.5/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T08:51:28.635866+00:00] ALERT for batch_id=48: Onion batch #48: Low risk (31.6/100). Recommended: Nagpur MIDC Cold Storage (31.0 km, Rs 17.75/kg).
[2026-08-21T08:51:33.102976+00:00] ALERT for batch_id=47: Mango batch #47: High risk (78.4/100). Recommended: Nashik Cold Storage Hub (223.1 km, Rs 33.93/kg).
[2026-08-21T08:51:33.111991+00:00] ALERT for batch_id=46: Tomato batch #46: Low risk (25.5/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T08:51:33.547271+00:00] ALERT for batch_id=44: Tomato batch #44: Low risk (23.2/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T08:51:33.554395+00:00] ALERT for batch_id=45: Tomato batch #45: Low risk (23.2/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T08:51:33.555888+00:00] ALERT for batch_id=53: Tomato batch #53: Low risk (0.0/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T08:51:35.537797+00:00] ALERT for batch_id=52: Tomato batch #52: Low risk (23.2/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T08:51:37.355002+00:00] ALERT for batch_id=50: Potato batch #50: Medium risk (60.8/100). Recommended: Talegaon Cold Chain Storage (56.7 km, Rs 13.21/kg).
[2026-08-21T08:51:37.560215+00:00] ALERT for batch_id=49: Chili batch #49: Low risk (31.0/100). Recommended: Nashik Cold Storage Hub (22.8 km, Rs 41.47/kg).
[2026-08-21T08:51:37.907352+00:00] ALERT for batch_id=51: Tomato batch #51: Low risk (25.5/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T08:51:37.956666+00:00] ALERT for batch_id=48: Onion batch #48: Low risk (31.6/100). Recommended: Nagpur MIDC Cold Storage (31.0 km, Rs 17.75/kg).
[2026-08-21T08:51:40.959737+00:00] ALERT for batch_id=44: Tomato batch #44: Low risk (23.2/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T08:51:40.971408+00:00] ALERT for batch_id=45: Tomato batch #45: Low risk (23.2/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T08:51:45.291924+00:00] ALERT for batch_id=47: Mango batch #47: Medium risk (58.7/100). Recommended: Nashik Cold Storage Hub (223.1 km, Rs 33.93/kg).
[2026-08-21T08:51:49.417814+00:00] ALERT for batch_id=46: Tomato batch #46: Low risk (18.0/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T09:18:00.374216+00:00] ALERT for batch_id=53: Tomato batch #53: Low risk (0.0/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T09:18:00.894344+00:00] ALERT for batch_id=52: Tomato batch #52: Low risk (20.2/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T09:18:01.433833+00:00] ALERT for batch_id=51: Tomato batch #51: Low risk (25.6/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T09:18:01.540093+00:00] ALERT for batch_id=50: Potato batch #50: High risk (68.0/100). Recommended: Talegaon Cold Chain Storage (56.7 km, Rs 13.21/kg).
[2026-08-21T09:18:01.587975+00:00] ALERT for batch_id=48: Onion batch #48: Medium risk (34.7/100). Recommended: Nagpur MIDC Cold Storage (31.0 km, Rs 17.75/kg).
[2026-08-21T09:18:01.633485+00:00] ALERT for batch_id=49: Chili batch #49: Low risk (31.3/100). Recommended: Nashik Cold Storage Hub (22.8 km, Rs 41.47/kg).
[2026-08-21T09:18:04.629894+00:00] ALERT for batch_id=47: Mango batch #47: High risk (74.1/100). Recommended: Nashik Cold Storage Hub (223.1 km, Rs 33.93/kg).
[2026-08-21T09:18:05.142684+00:00] ALERT for batch_id=46: Tomato batch #46: Low risk (25.6/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T09:18:06.547015+00:00] ALERT for batch_id=44: Tomato batch #44: Low risk (20.2/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T09:18:06.547355+00:00] ALERT for batch_id=45: Tomato batch #45: Low risk (20.2/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T09:18:06.577018+00:00] ALERT for batch_id=53: Tomato batch #53: Low risk (0.0/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T09:18:08.900626+00:00] ALERT for batch_id=52: Tomato batch #52: Low risk (20.2/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T09:18:09.313916+00:00] ALERT for batch_id=51: Tomato batch #51: Low risk (25.6/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T09:18:09.538916+00:00] ALERT for batch_id=50: Potato batch #50: High risk (68.0/100). Recommended: Talegaon Cold Chain Storage (56.7 km, Rs 13.21/kg).
[2026-08-21T09:18:10.898964+00:00] ALERT for batch_id=49: Chili batch #49: Low risk (31.3/100). Recommended: Nashik Cold Storage Hub (22.8 km, Rs 41.47/kg).
[2026-08-21T09:18:10.899249+00:00] ALERT for batch_id=48: Onion batch #48: Medium risk (34.7/100). Recommended: Nagpur MIDC Cold Storage (31.0 km, Rs 17.75/kg).
[2026-08-21T09:18:12.958867+00:00] ALERT for batch_id=47: Mango batch #47: High risk (74.1/100). Recommended: Nashik Cold Storage Hub (223.1 km, Rs 33.93/kg).
[2026-08-21T09:18:13.681474+00:00] ALERT for batch_id=46: Tomato batch #46: Low risk (25.6/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T09:18:13.712987+00:00] ALERT for batch_id=44: Tomato batch #44: Low risk (20.2/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T09:18:13.754885+00:00] ALERT for batch_id=45: Tomato batch #45: Low risk (20.2/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T09:18:15.049258+00:00] ALERT for batch_id=54: Chili batch #54: High risk (90.7/100). Recommended: Nashik Cold Storage Hub (186.9 km, Rs 41.47/kg).
[2026-08-21T09:20:57.714759+00:00] ALERT for batch_id=54: Chili batch #54: High risk (90.7/100). Recommended: Nashik Cold Storage Hub (186.9 km, Rs 41.47/kg).
[2026-08-21T09:20:58.167309+00:00] ALERT for batch_id=50: Potato batch #50: High risk (68.0/100). Recommended: Talegaon Cold Chain Storage (56.7 km, Rs 13.21/kg).
[2026-08-21T09:20:58.315290+00:00] ALERT for batch_id=53: Tomato batch #53: Low risk (0.0/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T09:20:58.364205+00:00] ALERT for batch_id=51: Tomato batch #51: Low risk (25.6/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T09:20:58.388768+00:00] ALERT for batch_id=52: Tomato batch #52: Low risk (20.2/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
[2026-08-21T09:21:00.817235+00:00] ALERT for batch_id=49: Chili batch #49: Low risk (31.3/100). Recommended: Nashik Cold Storage Hub (22.8 km, Rs 41.47/kg).
[2026-08-21T09:21:01.570950+00:00] ALERT for batch_id=48: Onion batch #48: Medium risk (34.7/100). Recommended: Nagpur MIDC Cold Storage (31.0 km, Rs 17.75/kg).
[2026-08-21T09:21:02.377566+00:00] ALERT for batch_id=47: Mango batch #47: High risk (74.1/100). Recommended: Nashik Cold Storage Hub (223.1 km, Rs 33.93/kg).
[2026-08-21T09:21:02.503472+00:00] ALERT for batch_id=46: Tomato batch #46: Low risk (25.6/100). Recommended: Pune Market Yard (Gultekdi) (175.8 km, Rs 19.45/kg).
[2026-08-21T09:21:02.698701+00:00] ALERT for batch_id=45: Tomato batch #45: Low risk (20.2/100). Recommended: Pune Market Yard (Gultekdi) (175.2 km, Rs 19.45/kg).
